Eng,Chi
Summer Night on the River,夏夜河上
Ernest So,蘇顯亮
Rejoice greatly,錫安的民哪，應當大大喜樂(選自 《彌賽亞》)
"O daughter of Zion (from ""Messiah"")",
Vivian Chan,陳麗珍
Geoff-Erik Li,李喆
Ständchen(作品編號106第1首),小夜曲(作品編號106第1首)
Ambrose Law,羅國治
Wie Melodien zieht es mir(作品編號105第1首),我的思緒如樂曲般(作品編號105第1首)
King Chan,陳珮琼
Hung Hung Kwan,洪鴻君
Meine Liebe ist grün(作品編號63第5首),我的愛情青蔥燦爛(作品編號63第5首)
Edvard Grieg,愛德華．格裡格
Zhou Long,周龍
Andrés Cárdenes,Andrés Cárdenes
Lan hua-hua (Chinese Folk Songs,蘭花花(中國民歌
Shaanbei),陝北)
蘇永康,蘇永康
梁漢文,梁漢文
二泉映月(二胡獨奏),二泉映月(二胡獨奏)
辛小玲,辛小玲
黃陵隨想(琴箏獨奏),黃陵隨想(琴箏獨奏)
鄔立珊,鄔立珊
梁正傑,梁正傑
雨打巴蕉(揚琴獨奏),雨打巴蕉(揚琴獨奏)
郭嘉瑩,郭嘉瑩
朱文昌,朱文昌
喜相逢(笛子獨奏),喜相逢(笛子獨奏)
Johannes Berauer,費孝華
Carolin Ralser,海露莎
Marco Döttlinger,琢凌格
Philip Lamprecht,藍彼特
Robin Bös,波爾斯
Kai-Young Chan,陳啟揚
J. S. Bach,巴赫
Zhu Xiao-Mei,朱曉玫
Goldberg Variations BWV 988,哥德堡變奏曲BWV 988
Enesco,埃內斯科
Romanian Rhapsody,羅馬尼亞狂想曲
Lee Sheung-ching,李尚澄
Chagrin,查格連
Lam Sau-ting Cecilia,林秀婷
Wang Ming-chun Marvis,王名晙
Romanian Fantasy,羅馬尼亞幻想曲
Yip Tsz-chung Matthew,葉梓翀
Leung Shing-hei Kelvin,梁承熹
Chung Wing-yan,鍾穎昕
Wang Ming-ho Marco,王名晧
Dominique Chan,陳皓琬
C.Armstrong Gibbs,C.Armstrong Gibbs
Alfred Ng,Alfred Ng
The splendor falls,The splendor falls
Gigi Wong,Gigi Wong
Jason Wong,Jason Wong
Daniel Ting-cheung Lo,盧定彰
world première),世界首演)
Frank Braley,布拉雷
K595,K595
Lutosławski,盧托斯瓦夫斯基
Little Suite,小組曲
Benjamin Schmid,施密特
K211,K211
Divertimento in D,D大調嬉遊曲
K136,K136
Suite for Violin & Strings,小提琴及弦樂組曲
Italian,「意大利」
Perry So,蘇柏軒
Zadok the Priest,《牧師扎多克》
Xi Wang,王曦
Ave verum corpus,《聖體頌》
Philip Chu,朱俊熹
Choral Fantasy,《合唱幻想曲》
Academic Festival Overture,《大學節慶序曲》
Tragic Overture,《悲劇序曲》
金蛇狂舞(孫沛元編曲,金蛇狂舞(孫沛元編曲
吹打樂合奏),吹打樂合奏)
Mozartiana,
Vassily Sinaisky,辛奈斯基
The Marriage of Figaro Overture,《費加洛的婚禮》序曲，K492
K492,
Michael Collins,哥連斯
Clarinet Concerto in A,A大調單簧管協奏曲，K622
K622,
Finlandia,《芬蘭頌》
David Quah,柯大衛
Die schöne Müllerin,美麗的磨坊少女
Timmy Tsang,曾華琛
Wang Baocan,王寶燦
Loess Plateau Stories (Jiangu Solo),訴說黃土(建鼓獨奏)
Ronald Chin,錢國偉
Liao Yi-ping,廖倚苹
Borodin,鮑羅丁
Polovtsian Dances (from Prince Igor),〈韃靼舞曲〉(選自《伊果王子》)
Danse des cygnes (from The Swan Lake Suite,〈天鵝舞曲〉(選自《天鵝湖》組曲，作品二十a)
John Newton,John Newton
何小馨,何小馨
高加信,高加信
Amazing Grace,Amazing Grace
王婉怡,王婉怡
謝靈恩,謝靈恩
Stephen Adams,Stephen Adams
印玉文,印玉文
劉婉玲,劉婉玲
施俊豪,施俊豪
張婉婷,張婉婷
張健偉,張健偉
陳曉峰,陳曉峰
歡樂的夜晚(絲弦五重奏),歡樂的夜晚(絲弦五重奏)
邵琳,邵琳
桂習禮,桂習禮
安悅,安悅
映山紅(揚琴獨奏),映山紅(揚琴獨奏)
郁虹,郁虹
吳俊生,吳俊生
張泰儒,張泰儒
火把節戀歌(中阮獨奏),火把節戀歌(中阮獨奏)
霍碧蓮,霍碧蓮
J.S 巴赫,J.S 巴赫
賀曉舟,賀曉舟
巴赫無伴奏第一組曲(前奏曲,巴赫無伴奏第一組曲(前奏曲
大提琴獨奏),大提琴獨奏)
陳國平,陳國平
So Chun-bo,蘇振波
The Story of the Red Chamber (Excerpts 1,紅樓夢(選段之一及五至七段，周成龍編配，箏協奏)
5 to 7,
Arr. Zhou Chenglong,
Zheng Concerto),
Tsui Nang-keung,徐能強
Xu Lingzi,許菱子
Chan Tze-yan,陳芷欣
Chan Po-ling,陳寶玲
Li Mei-sze,李美詩
Wong Sit-lo,黃薛潞
Chung Chiu-yee,鍾朝而
Lantern Festival (Arr. Zhou Chenglong,花燈會(周成龍編配，箏協奏)
Fang Wanru,方婉如
Ronald Chin Kwok-wai,錢國偉
Visitors of the Desolate City (Arr. Law Wing-fai,荒城來客(羅永暉編配，箏協奏)
Violin Sonata in F,Violin Sonata in F
Stanley Yeung,Stanley Yeung
Ryan Ho,Ryan Ho
Cello Sonata in A,Cello Sonata in A
Amy Sze,施敏倫
Yang Tsung-hsien,楊聰賢
Grieving the Evanescing,《傷逝》
Yip Wing-sze,葉詠詩
Dvořák,德伏扎克
Daniel Müller-Schott,米勒索特
Handel,Handel
Water Music,Water Music
Roger Bobo,羅傑 · 寶寶
Ingolf Dahl,Ingolf Dahl
Debussy,德彪西
Petite Suite,小組曲
Florent Héau,弗洛翰．艾尤
Saint-Saens,聖桑
Cheng Wai,鄭慧
Sonata for Clarinet and Piano,單簧管奏嗚曲
Carrie Fung,Carrie Fung
P. Dubois,P. Gabaye
Shostakovich,蕭斯達高維治
Benson Ma,馬文彬
Rossini,Rossini
Law Wai Lun,羅煒綸
Wilhelm Tell Overture,Wilhelm Tell Overture
Cheung Fook Tin,張福天
Nicola Lee,李宛容
Clarinet Concerto in A major,Clarinet Concerto in A major
K. 622,K. 622
Cheng Ka Wai,鄭家惠
Rosauro,Rosauro
黃穎宜,黃穎宜
Concerto for Marimba and String Orchestra,Concerto for Marimba and String Orchestra
Altamira Guitar Foundation,Altamira Guitar Foundation
M. Giuliani,朱利亞尼
Music City,Music City
David Russell,大衞羅素
D. Scarlatti,史卡拉第
Chung Yiu-Kwong,鍾耀光
Wu Meng-Shan,吳孟珊
Lin Chen-Feng,林承峰
Chen Tyng-Yi,陳婷怡
Hsu Jing-Tsuen,許景淳
Lin Ke-Wei,林克威
This Little Light of Mine (Arranged by John Leavitt),This Little Light of Mine (Arranged by John Leavitt)
Ronald Long-ting Yeung,楊朗廷
Ronald Staheli,Ronald Staheli
Wong Ying Ying,汪瑛瑛
Sing A New Song,Sing A New Song
Lau Wing Man Angel,劉穎文
Ludovico Grossi da Viadana,Ludovico Grossi da Viadana
Lam Kai Yuk,藍佳鈺
Exsultate justi,Exsultate justi
Philip Sparke,史巴克
Concerto for Clarinet and Concert Band,單簧管及樂隊協奏曲
Amilcare Ponchielli,龐開利
"Dance of the Hours from ""La Gioconda""",時辰之舞
Weelkes,威爾克斯
Hosanna to the Son of David,和散那歸於大衛的子孫
Peter Phillips,彼得．菲利普斯
Gibbons,紀邦士
R. Bauer,鮑爾
Fabricio Mattos,法夫里西奧
Metamorphose,蛻變
Hob. III,
Lorente,洛倫特
Preludio from La Revoltosa (arr. Palomo),《搗蛋鬼》前奏曲(帕羅莫編)
Overture to Tannhäuser,《唐懷瑟》序曲
Wieniawski,維尼亞夫斯基
Fantaisie Brillante,華麗的古諾《浮士德》主題幻想曲，作品二十
Yip Wai-hong,葉惠康
Vincent Wong,黃伯康
‘Temptations’,
Manuel de Falla,Manuel de Falla
Ray Wang,Ray Wang
Letty Poon,Letty Poon
Karey Ho,Karey Ho
Eric Yip,Eric Yip
Tong Wai Ho,Tong Wai Ho
Tan Cong,Tan Cong
Stephen Bin,Stephen Bin
Juanita Wong,Juanita Wong
Jeanie Chu,Jeanie Chu
Joe Chan,Joe Chan
William Tsui,William Tsui
Jamie Jim,Jamie Jim
Chang Pei Chieh,Chang Pei Chieh
Si-Won Park,Si-Won Park
Laurent Perrin,Laurent Perrin
Wu Yin Yin,Wu Yin Yin
Hsin-Hsin Chang,Hsin-Hsin Chang
Jia Nan,Jia Nan
Danse de “La Vie Brève” (arr. Heinrich Klug),Danse de “La Vie Brève” (arr. Heinrich Klug)
Nancy Yuen,Nancy Yuen
Alfredo Piatti,Alfredo Piatti
Nancy Loo,Nancy Loo
In Vacanza,In Vacanza
K.16,K.16
HJ Lim,林鉉静
Wen De Jing,溫德經
Toni Tang,鄧東蕾
Wendy Shi,施雯
Paganini,帕格尼尼
Chen Xianghao,陳翔豪
C. Hubert H. Parry,C. Hubert H. Parry
John Winzenburg,John Winzenburg
Victor Tam,Victor Tam
I Was Glad,I Was Glad
Wong Kin Yu,Wong Kin Yu
Liu Xuean,劉雪庵
Yue Ho Yeung,Yue Ho Yeung
Yip Yuk Chuen,Yip Yuk Chuen
Red Bean Poem (Arr. Hwang Yau-tai),紅豆詞(黃友棣 編曲)
Au Wing Chuen,Au Wing Chuen
Lo Kwok Hin,Lo Kwok Hin
Half Moon Rising (Xinjiang folksong,半個月亮爬上来(新疆民歌
Arr. Cai Yuwen),蔡余文編曲)
Fu Kai Yin,Fu Kai Yin
Cheung Lik On Leona,Cheung Lik On Leona
Cheng Wai,Cheng Wai
Shepherd’s Song (Eastern Mongolian folksong,牧歌(東蒙民歌
Arr. Qu Xixian),瞿希賢編曲)
Wang Luobin,王洛賓
Dmitri Shostakovich,Dmitri Shostakovich
Natalia Rubinstein,Natalia Rubinstein
Nikolai Sachenko,Nikolai Sachenko
Pyotr Tchaikovsky,Pyotr Tchaikovsky
Kirill Rodin,Kirill Rodin
Salome,莎樂美
Andrejs Zagars,薩加斯
John Neschling,奈許靈
Kristine Pasternaka,帕斯特納卡
Kevin Wyn-Jones,賢‧鍾斯
Kiril Burlov,布魯夫
Dace Volfarte,華費爾特
Annemarie Kremer (9/10 & 11/10),克雷曼(9/10 & 11/10)
Kirsten Chambers (10/10 & 12/10),錢伯斯(10/10 & 12/10)
Stig Andersen (9/10 & 11/10),安達臣(9/10 & 11/10)
Peter Bronder (10/10 & 12/10),布隆德(10/10 & 12/10)
Natascha Petrinsky (9/10 & 11/10),琵恩林斯基(9/10 & 11/10)
Jacqueline Dark (10/10 & 12/10),達爾克(10/10 & 12/10)
Tomasz Konieczny (9/10 & 11/10),康尼克茲利(9/10 & 11/10)
Daniel Sumegi (10/10 & 12/10),蘇密基(10/10 & 12/10)
Ta'u Pupu'a (9/10 & 11/10),普浦亞(9/10 & 11/10)
Jason Wickson (10/10 & 12/10),域克遜(10/10 & 12/10)
Carol Lin (9/10 & 11/10),連皓忻(9/10 & 11/10)
Samantha Chong (10/10 & 12/10),張吟晶(10/10 & 12/10)
Frankie Liu,廖匡
Chen Yong,陳永
Freddie Tong,唐景端
Andrew Chan,陳倬熙
Kathy Tang,鄧浩彤
Holborne,霍爾本
Muy Linda (Selections from Renaissance Brass),多可愛(文藝復興銅管樂選曲)
Samdo-seoljanggu,三道立長鼓
Chew Hee-chiat,周熙杰
Yu Jo-yu,游若妤
Uttari Pungmul,京畿道
Choi Shu-lun Chris,蔡書麟
String Quartet in C,C大調弦樂四重奏
Emperor (Second Movement),
String Sextet (from Capriccio),弦樂六重奏(選自《隨想曲》)
C. M. Weber,韋伯
Dr. Yip Wai-hong BBS MH,葉惠康博士
C. Saint-Saens,聖桑
Dr. Law Po Kwan,羅保莙博士
Johnny Ng,吳廷光
E. Grieg,格里格
Cecilia Wan,溫樂愉
Rueibin Chen,陳瑞斌
Bao Gui,寶貴
Ko Matsushita,Ko Matsushita
The Ornamented Saddle (Arr. Xu Ruiqi),雕花的馬鞍(徐瑞褀編曲)
Grace Chiang,Grace Chiang
Lesley Chan,Lesley Chan
Zoltán Kodály,Zoltán Kodály
Georges Bizet,比才
Carmen Overture - Les Toreadors (arr. Stan Davis),卡門序曲—鬥牛勇士之歌 (arr. Stan Davis)
Eric Lok,駱廣基
Jilie Lam,林友寶
arr. Thomas Schwarz),
Ho Chee-kong,何志光
Spring Blossoms (Huqin Quartet),迎春花(胡琴四重奏)
Brass Quintet,Brass Quintet
Toccata & Fugue,Toccata & Fugue
王惠然,王惠然
塔吉克的節日(古箏合奏,塔吉克的節日(古箏合奏
吳曉紅編曲),吳曉紅編曲)
程秀榮,程秀榮
吳曉紅,吳曉紅
甜蜜蜜(印尼民歌,甜蜜蜜(印尼民歌
葫蘆絲合奏,葫蘆絲合奏
許俊傑編曲),許俊傑編曲)
徐惠芬,徐惠芬
華彥鈞,華彥鈞
陳高安,陳高安
黃海懷,黃海懷
許俊傑,許俊傑
賽馬(二胡獨奏),賽馬(二胡獨奏)
彝族舞曲(古箏獨奏,彝族舞曲(古箏獨奏
王中山編曲),王中山編曲)
雷掁邦,雷掁邦
江卓錡,江卓錡
蝴蝶泉邊(古箏四重奏,蝴蝶泉邊(古箏四重奏
顧冠仁編曲),顧冠仁編曲)
F. Sor,F. Sor
Introduction and variations on the theme,Introduction and variations on the theme
Anna Likhacheva,安娜．麗嘉芝娃
J. S. Bach,J. S. Bach
Matthew Wan,Matthew Wan
Sarabande and Gigue),Sarabande and Gigue)
Holst,霍爾斯特
The Planets,《行星》組曲
H. Duparc,杜巴克
Tony Yip,葉偉堅
Helen Lou,樓青琪
R. Quilter,奎爾特
Dickson Chiu,焦得純
Boccherini,鮑凱利尼
Cello Concerto in D Major,D大調大提琴協奏曲
G. 479,作品479
Yuri Bashmet,尤利．巴舒密特
Andante Cantabile in D Major (for Cello and Strings),如歌的行板(大提琴與弦樂)
Trey Lee,李垂誼
Jan-Erik Gustafsson,揚．艾力．古斯塔夫森
"""Ghost""",
Dong-Suk Kang,姜東錫
Vladimir Mendelssohn,弗拉迪米爾．孟德爾遜
Colleen Lee,李嘉齡
Wong Chun-Wai,黃俊諱
The White Wall (Commissioned for The University of Hong Kong),《白壁》(靈感來自香港大學的新作)
Lawrence Lau,劉曉江
Shiu Pui Yee Belle,邵珮儀
Wong Chi-chung,王志聰
Fire Digte fra 'Fiskerjenten',根據《漁家少女》而寫的四首詩，作品21 (Four Poems from 'The Fisher Maiden')
Y.Y.,楊月雲
Shirley,馬寶月
Amy,梁宛琪
Lilian,麥錦珍
Joyce,李慧敏
Ivy,田春
Bibi,黃儀
Robert Schumann,羅拔．舒曼
Stephen Lam,林屴汧
Manfred Overture,曼弗雷德序曲
Sung Ke Zhang Karen,宋可樟
Clara Schumann,克拉拉．舒曼
CPE Bach,CPE Bach
Symphony in F Major,Symphony in F Major
Homer Lee,Homer Lee
Fung Ka Hing,Fung Ka Hing
Ho-Yin Kwok,Ho-Yin Kwok
J. S. Bach,巴哈
The Art of Fugue (Excerpts),賦格的藝術(選段)
A Country Walk,曠野漫步
Gong Linna,龔琳娜
Arr. Lao Luo),圪梁梁
Wang Hua,王華
Niu Jiandang,牛建黨
Yi Shui Ge (Suona Concerto,易水歌(嗩吶協奏曲
From Chu Ci (Songs of the South),楚辭
World premiere),世界首演)
Neapolitan Songs Medley,Neapolitan Songs Medley
謝斌林,謝斌林
Claude-Michel Schönberg,Claude-Michel Schönberg
張苡正,張苡正
陳惠芳,陳惠芳
喻樂,喻樂
Bring Him Home (Les Misérables),Bring Him Home (Les Misérables)
何家敏,何家敏
Gluck,Gluck
吳慕蓮,吳慕蓮
連家駿,連家駿
Che faro senza Euridice (Orfeo),Che faro senza Euridice (Orfeo)
張碧雲,張碧雲
鄭秋楓,鄭秋楓
李志剛,李志剛
我愛你，中國,我愛你，中國
魏茹,魏茹
陳毓雯,陳毓雯
顏文昭,顏文昭
周秋水,周秋水
譚潔玲,譚潔玲
黎錦兒,黎錦兒
劉聰,劉聰
鍾焯雄,鍾焯雄
梁世榮,梁世榮
陸宏廣,陸宏廣
譚戈,譚戈
黃永棠,黃永棠
鳥兒在風中歌唱,鳥兒在風中歌唱
陳震慧,陳震慧
萬學雲,萬學雲
C. W. Gluck,C. W. Gluck
伍建業,伍建業
Divinités du Styx (Alceste),Divinités du Styx (Alceste)
Felix Mendelssohn,Felix Mendelssohn
Gilbert Sak,Gilbert Sak
Concerto for Violin,Concerto for Violin
Au Yuen Ying,Au Yuen Ying
Ma Man Ki,Ma Man Ki
Andrew R. Stout,Andrew R. Stout
The Chameleon,The Chameleon
Sit Ngai Cheung Adrian,Sit Ngai Cheung Adrian
Jonathan Wu,Jonathan Wu
Tsui Pak Chuen Patrick,Tsui Pak Chuen Patrick
Tsang Dora,Tsang Dora
Mark Ford,Mark Ford
Jeff Leung,Jeff Leung
66 Leighton Road,66 Leighton Road
K.297,K.297
Johnny M Poon,Johnny M Poon
Fung Lam,Fung Lam
In Search Of (2014,In Search Of (2014
Hong Kong Premiere),Hong Kong Premiere)
Xian Xing-hai,冼星海
Dr. Leung Chi-cheung,梁志鏘博士
Chen Gang,陳鋼
Li Chun-sang,李俊生
Dr. Young Kar-fai Samson,楊嘉輝博士
Butterfly Lovers (Zheng Concerto),梁山伯與祝英台(箏協奏曲)
Dr. Wan On-ni Annie,溫安妮博士
Leung Chi Cheung,梁志鏘
Dr. Wu Sheng Chung,伍盛中博士
Dizi,笛子
Chinese Orchestra and Digital Imagery,中樂隊及數碼影像
Digital Imagery,數碼影像
Huang Samuel,黃加恩
Samson Young,楊嘉輝
Ma Paul,馬忠駒
World Premiere),World Premiere)
A. Borodin,A. Khachaturyan
Maxim Puryzhinskiy,Maxim Puryzhinskiy
Polovetsian Dances,"""Adagio"" from the ballet ""Spartakus"""
Grande Pièce Symphonique,大交響樂曲，作品十七 (第一
3rd movement),
Chiu Siu-ling,趙小玲
Joshua Law,羅智光
Eric Fan,范肇新
Buxtehude,布克斯特斯胡德
Jennifer Chou,周悅欣
Toccata in F Major,F大調觸技曲，BuxWV一五六
BuxWV 156,
Tournemire,杜尼米爾
Ansgar Wallenhorst,安斯加爾．瓦倫霍斯特
Choral-Improvisation on Victimae paschali (Transcribed by M. Duruflé),聖詠主題即興創作曲《復活節繼抒》(杜魯夫改編)
K. 550,K. 550
Friedrich Kuhlau,Friedrich Kuhlau
Chau Hoi Lee,Chau Hoi Lee
Woo Kar Ching,Woo Kar Ching
Chak Sin Oi,Chak Sin Oi
Shum Ka Yan,Shum Ka Yan
Lam Ching Yu,Lam Ching Yu
To Ka Man,To Ka Man
Sin Kit Ting Stella,Sin Kit Ting Stella
Chan Man Sum,Chan Man Sum
Chan Uen Kiu,Chan Uen Kiu
Hung Shiu Hong,Hung Shiu Hong
Sin Yik Wang Gary,Sin Yik Wang Gary
Mathias Reumert,Mathias Reumert
Chan Wing Yip Andrew,Chan Wing Yip Andrew
Cheuk Tsz Leung,Cheuk Tsz Leung
To Wing King,To Wing King
Fabricco,Fabricco
Chan Ho Hin,Chan Ho Hin
Chan Yin Tat,Chan Yin Tat
Cheng Pui Chung,Cheng Pui Chung
Fung Chi Chuen,Fung Chi Chuen
Rosephanye Powell,Rosephanye Powell
Sorida (A Zimbabwe Greeting),Sorida (A Zimbabwe Greeting)
Pokwan Law,Pokwan Law
Lisa Lin,Lisa Lin
Laudate Pueri,Laudate Pueri
Chung Wai Shan,Chung Wai Shan
Lo Sze Wing,Lo Sze Wing
Thomas Weekles,Thomas Weekles
Lo Tat Chi Arthur,Lo Tat Chi Arthur
The Nightingale (Arr. Henry Leslie),The Nightingale (Arr. Henry Leslie)
Wong Kar Hei Olga,Wong Kar Hei Olga
Lee Nga Chuen,Lee Nga Chuen
Leung Men Yin Lizzie,Leung Men Yin Lizzie
Tang Cho Yi Vanessa,Tang Cho Yi Vanessa
Tang Tin Hang Carlos,Tang Tin Hang Carlos
Chua Chun Wing Alven,Chua Chun Wing Alven
Edward Elgar,Edward Elgar
Lam Chung Hin Chloe,Lam Chung Hin Chloe
Three Dance Episodes from On the Town,《錦城春色》三段舞曲
Simone Lamsma,藍絲瑪
Bruch,布魯克
Ho Yin Kwok,郭浩賢
Johnny M Poon,潘明倫
Turandot (12/12 - 7,杜蘭朵(12/12 - 7
45pm perform ending by Franco Alfano,45pm演出阿爾方諾的結局
Lo Kingman,盧景文
30pm,30pm
Thomas Brown,白朗唐
Ricky Chan,陳志權
Mandy Tam,譚嘉儀
Peter Li,李炳強
Jee-hye Han (12/12 - 7,韓知惠(12/12 - 7
45pm),45pm)
Helen Todd (12/13 - 2,海倫．托德(12/13 - 2
30pm),30pm)
Raul Melo (12/12 - 7,勞爾．梅羅(12/12 - 7
John Hudson (12/13 - 2,約翰．哈德森(12/13 - 2
Eudora Brown (12/12 - 7,尤朵拉．布朗(12/12 - 7
Song Yuan-ming(12/13 - 2,宋元明(12/13 - 2
Isaac Droscha (12/12 - 7,杜羅賽(12/12 - 7
45pm,45pm
Pong Chung-lam (12/14 - 2,龐頌霖(12/14 - 2
Three Lieder set to poems by Hermann von Gilm,三首《吉爾姆之歌》
TrV 141,
Vivian Yau,邱芷芊
Song Yuan-ming,宋元明
TrV 151,
Three Lieder set to poems by Clemens Brentano,三首《布蘭塔諾之歌》
TrV 235,
Liszt,李斯特
Ivo Pogorelich,普哥利殊
Après une lecture du Dante,但丁讀後感 – 仿奏鳴曲的幻想曲
fantasia quasi sonata,
Das Mädchen spricht,Das Mädchen spricht
Hui Ling,許寧
Mädchenlied,Mädchenlied
Elvis Chan,陳子信
Lui Pui-Yuen,呂培原
《飛花點翠》,《飛花點翠》
Ravel,Ravel
Fenix Man,萬昆剛
Betty Li,李有曼
"Oiseaux tristes (from ""Miroirs"")","Oiseaux tristes (from ""Miroirs"")"
Rachel Chong,張雪芬
Rimsky-Korsakov,Rimsky-Korsakov
The Flight of the Bumblebee,The Flight of the Bumblebee
Jensen Lung,龍向輝
Massenet,Massenet
Frank Peter Zimmermann,齊默曼
Catherine Wong,黃子芳
梁祝鋼琴協奏曲,梁祝鋼琴協奏曲
Peter Biloen,彼得．彼崙
The First Echelon,《第一梯隊》
Bach/Kempff,Bach/Kempff
Siciliano,Siciliano
Erkki-Sven Tüür,Erkki-Sven Tüür
Requiem (Asia Premiere),Requiem (Asia Premiere)
Rachelle Gerodias,赫若惹斯
Stephen Ng,吳智誠
Jonathan Leung,梁益彰
HWV 371,HWV 371
Maria Jee,池明珍
Wieniawski,Wieniawski
Janáček,楊納徹克
Matthew Barley,巴利
Pohádka (A Tale),故事
Sulkhan Tsintsadze,曾查傑
Five Pieces on Folk Themes,民族風格作品五首
My Lovely Baby (Indonesian Folk Song),寶貝(印尼民歌)
Terry Leung,梁家輝
Bengawan Solo (Indonesian Folk Song),梭羅河(印尼民歌)
Sandy Lau,劉嘉嘉
Evelyn Chiu,趙春琳
Vincent Liauw,廖原
Eine keine Nichtmusik (arranged by Prof. Peter Schickel),小'無'曲(施克勒教授改編)
Amos Tsang,曾彥熹
Henry Shart,薩康睿
Wu Kiu Lap,胡喬立
P.D.Q. Bach,巴哈
Iphigenia in Brooklyn,伊菲芝莉亞在布魯克林
Phebus Chan,陳雋騫
Dennis Wu,胡銘堯
1712 Overture,《1712序曲》
Roy Chan,陳旋第
Egmont Overture,Egmont Overture
Cheng Wing Kin Ken,鄭永健
Mendelssohn,Mendelssohn
Isaac Droscha,艾樂冊
Emily Choi,蔡憙雯
Samuel Barber,Samuel Barber
Grace Cheung,Grace Cheung
Adagio for Strings (arr. Rie Schmidt),Adagio for Strings (arr. Rie Schmidt)
José Chan,José Chan
Joseph Bodin de Boismortier,Joseph Bodin de Boismortier
Lam Tsz Him,Lam Tsz Him
Richard Tsang,曾葉發
Commentaries (first performance,《綻》(首演
In celebration of RTHK Radio 4’s 40th Anniversary),賀香港電台第四台40周年)
Lawrence Foster,佛斯特
Schwantner,施萬特納
Li Biao,李飈
Percussion Concerto,敲擊樂協奏曲
Jonathan Douglas,杜格尊
Anderson,安德森
A Christmas Festival,聖誕慶典
Sarah Kapustin,莎拉．卡普斯丁
J. Barnes,J. Barnes
Symphonic Overture,Symphonic Overture
Kelvin Ngai,魏龍勝
Richard Ho,何鑑亨
Grieg,Grieg
Dr. Helen Cha,查海倫博士
Ma Wing Cheung (Ma Chai),馬穎章(馬仔)
Gillingham,Gillingham
Joyce Wong,黃華裳
Mischa Ip,葉冷
Gabby Yeung,楊芷瑩
Stephanie Ng,伍雅愉
Mark Anthony Wong,黃凱泰
Andy Cheung,張人傑
Marley Chan,陳嘉裕
Wai Chan,陳仲偉
Steve Cheung,張嘉豪
Emmanuel Chabrier,夏布里耶
Dr. Joseph Kam,甘浩鵬博士
徐偉珊,徐偉珊
齊潔,齊潔
龍船(林石城編曲),龍船(林石城編曲)
Saint-saëns,聖桑
"Overture from ""La Princesse Jaune""",歌劇《黃衣公主》序曲
Dr. Gilbert Shek,石家澧博士
Yau Cheuk Wa Jerome,游焯樺
Morceau de Concert pour Cor,圓號音樂會獨奏曲
Wu Tin Lap,Wu Tin Lap
Adrian Sit,Adrian Sit
Yeung Tsz Yan Coco,Yeung Tsz Yan Coco
Law Hang Leung,Law Hang Leung
The Green Lotus Only Blooms Once (for Piano,曇花 (for Piano
Four Hands),Four Hands)
Ho Ka Lok,Ho Ka Lok
The United Continents (for Brass Ensemble and Percussion),The United Continents (for Brass Ensemble and Percussion)
Helen Lau,Helen Lau
Leung Shu Ming Jeff,Leung Shu Ming Jeff
Just Three Words (for SATB and Percussion),Just Three Words (for SATB and Percussion)
Chow Chi Chung,Chow Chi Chung
Emanuele Krakamp,伊曼紐爾．卡卡木
Giulio Briccialdi,
Yoel Gamzou,
"Fantasy on Verdi's ""La traviata""",威爾第
Shengqi He,何聲奇
Marie-Laure Muller,瑪麗-洛爾．慕勒
Fantasie uber Rigoletto,弄臣長笛二重奏幻想曲
Syrinx,牧神之笛
He Sheng Qi,何聲奇
Vincent Lucas,文生盧卡
Prélude à l'après-midi d'un faune,牧神的午後前奏曲
Hsu Chia Chi,徐嘉琪
Philippe Gaubert,菲利普．高貝爾
Catherine McMichael,米歇爾
Floris,花之組曲
Hsiau Ching Yu,蕭慶瑜
Flying in the Dark Night,夜行
Andrey Rubtsov,卡安德烈．羅伯索夫
Bohuslav Martinu,博胡斯拉夫．馬爾蒂努
First Sonata for Flute and Piano,長笛與鋼琴第一奏鳴曲
Julie Kuok,郭品文
Andre Jolivet,安德烈．朱里維
Mario Latumbo,林庭寶
Law Wing-fai,羅永暉
Tsang Man-tung,曾文通
Leo Cheung,張國永
Shing Bok-man,成博民
Shao Qing,邵青
Wendy Law,羅詠媞
Xu Zhibo,徐志博
Kong Wei,孔薇
Ye Ran,燁冉
Yang Zhijun,楊志軍
Gao Sijia,高思嘉
So Pui-yi,蘇沛宜
Zhao Guanjie,趙冠傑
Jiang Ning,蔣寧
Margie Tong,唐舜菁
Xi Yanen,釋延恩
Alice Pan,潘雅詩
Peng Fei,彭菲
鄭漢成,鄭漢成
黃雁卿,黃雁卿
梁萬儀,梁萬儀
黃月蓮,黃月蓮
李少英,李少英
何少芬,何少芬
蕭要鈴,蕭要鈴
張振英,張振英
李碧華,李碧華
陳雅泰,陳雅泰
陳維,陳維
林泓,林泓
林翠琼,林翠琼
陳亮,陳亮
楊六寶,楊六寶
蘇瑞銮,蘇瑞銮
陳顥仁,陳顥仁
陳麗英,陳麗英
梅綺玲,梅綺玲
陳瑞芬,陳瑞芬
程雪鈴,程雪鈴
劉潔,劉潔
伍慧芳,伍慧芳
楊大華,楊大華
陳琬芝,陳琬芝
禢燕開,禢燕開
梁夢娜,梁夢娜
梁穎雯,梁穎雯
徐美儀,徐美儀
何慧珍,何慧珍
農喜松,農喜松
黃其幹,黃其幹
